"","Land","Naam","Geboortedatum","Seizoenen"
"392","Nederland","van Toorn, Matthijs Matthijs van Toorn","29-12-1950","1978-1979"
"393","Nederland","van Vossen, Peter Peter van Vossen","21-04-1968","1992-1993"
"394","België","Van Welle, Jacques Jacques Van Welle","10-09-1947","1966-1970"
"395","België","Van Wilder, Philippe Philippe Van Wilder","14-02-1940","1958-1961"
"396","België","Van den Bosch, Hippolyte Hippolyte Van den Bosch","30-04-1926","1943-1948, 1953-1958"
"397","België","Van den Bosch, Pieter Pieter Van den Bosch","31-10-1927","1951-1960"
"398","België","Van den Bossche, Hugo Hugo Van den Bossche","02-11-1947","1965-1970"
"399","België","Van der Linden, Marc Marc Van der Linden","04-02-1964","1989-1991"
"400","België","Vancamp, Jorn Jorn Vancamp","28-10-1998","2016-2017"
"401","België","Vanden Boer, Frits Frits Vanden Boer","08-05-1934","1958-1961"
"402","België","Vanden Borre, Anthony Anthony Vanden Borre","24-10-1987","2003-2007, 2013-2016"
"403","België","Vanden Stock, Constant Constant Vanden Stock","13-06-1914","1932-1938"
"404","België","Vandendaele, Erwin Erwin Vandendaele","09-03-1943","1974-1977"
"405","België","Vandenbergh, Erwin Erwin Vandenbergh","26-01-1959","1982-1986"
"406","België","Vandereycken, René René Vandereycken","22-07-1953","1983-1986"
"407","België","Vanderhaeghe, Yves Yves Vanderhaeghe","30-01-1970","2000-2006"
"408","België","Vanhaecke, Franky Franky Vanhaecke","04-09-1954","1975-1977"
"409","Venezuela","Vargas, Ronald Ronald Vargas","02-12-1986","2011-2014"
"410","België","Vekeman, Dirk Dirk Vekeman","25-09-1960","1978-1987"
"411","België","Velkeneers, Jean Jean Velkeneers","16-06-1950","1969-1971"
"412","België","Verbiest, Laurent Laurent Verbiest","16-04-1939","1960-1966"
"413","België","Vercauteren, Franky Franky Vercauteren","28-10-1956","1975-1987"
"414","Turkije","Verel, Engin Engin Verel","15-09-1956","1980-1981"
"415","België","Verheyen, Gert Gert Verheyen","20-09-1970","1988-1992"
"416","België","Verheyen, Jan Jan Verheyen","09-07-1944","1971-1975"
"417","België","Versavel, Bruno Bruno Versavel","27-08-1967","1992-1997"
"418","België","Verstraeten, Mike Mike Verstraeten","12-08-1967","1999-2000"
"419","België","Vervoort, Patrick Patrick Vervoort","17-01-1965","1987-1990"
"420","Servië","Veselinovic, Dalibor Dalibor Veselinovic","21-09-1987","2011"
"421","Spanje","Vico, Fede Fede Vico","04-07-1994","2013, 2015"
"422","Paraguay","Villalba, Enrique Enrique Villalba","02-05-1955","1979-1980"
"423","België","Vlaeminck, Chris Chris Vlaeminck","31-03-1956","1975-1977"
"424","Tsjechië","Vlcek, Stanislav Stanislav Vlcek","26-02-1976","2008-2009"
"425","België","Volders, Jos Jos Volders","31-12-1949","1967-1974"
"426","Zweden","von Schlebrügge, Max Max von Schlebrügge","01-02-1977","2007"
"427","Kroatië","Vukasovic, Zdenko Zdenko Vukasovic","19-09-1941","1967-1969"
"428","België","Walem, Johan Johan Walem","01-02-1972","1991-1997"
"429","Brazilië","Wantuil Da Trindade","28-08-1942","1965-1967"
"430","Polen","Wasilewski, Marcin Marcin Wasilewski","09-06-1980","2007-2013"
"431","België","Weber, Josip Josip Weber","16-11-1964","1994-1996"
"432","België","Week, Félix Félix Week","06-01-1929","1950-1961"
"433","Zweden","Wilhelmsson, Christian Christian Wilhelmsson","08-12-1979","2003-2006"
"434","België","Wilms, Raymond Raymond Wilms","03-11-1948","1968-1971"
"435","België","Wittebole, Didier Didier Wittebole","22-11-1965","1985-1986"
"436","België","Wuyts, Marc Marc Wuyts","12-09-1967","1986-1989"
"437","Guinee","Youla, Souleymane Souleymane Youla","29-11-1981","2000-2001"
"438","Australië","Zane, Clayton Clayton Zane","12-07-1977","2002-2005"
"439","Zweden","Zetterberg, Pär Pär Zetterberg","14-10-1970","1989-1991, 1993-2000, 2003-2006"
"440","Polen","Zewlakow, Michal Michal Zewlakow","22-04-1976","2002-2006"
"441","Tsjechië","Zitka, Daniel Daniel Zitka","12-09-1967","2002-2010"
