"","Land","Naam","Geboortedatum","Seizoenen"
"211","België","Kums, Sven Sven Kums","26-02-1988","2006, 2017-nu"
"212","Hongarije","Ladinsky, Attila Attila Ladinsky","30-09-1949","1973-1975"
"213","België","Lamah, Roland Roland Lamah","31-12-1987","2006-2007"
"214","Ghana","Lamptey, Nii Nii Lamptey","10-12-1974","1990-1993"
"215","Tsjechië","Lecjaks, Jan Jan Lecjaks","09-08-1990","2010-2011"
"216","België","Legear, Jonathan Jonathan Legear","13-04-1987","2004-2011"
"217","Argentinië","Leiva, Cristian Cristian Leiva","26-09-1977","2006"
"218","België","Leya Iseka, Aaron Aaron Leya Iseka","15-11-1996","2014-2016"
"219","België","Lievens, Eddy Eddy Lievens","03-05-1945","1971-1973"
"220","Zweden","Lindman, Håkan Håkan Lindman","27-11-1961","1987-1988"
"221","België","Lippens, Martin Martin Lippens","08-10-1934","1954-1965"
"222","België","Lomme, Michel Michel Lomme","16-09-1955","1975-1978"
"223","Argentinië","Losada, Hernán Hernán Losada","09-05-1982","2008-2009"
"224","Servië","Lovre, Goran Goran Lovre","23-03-1982","2001-2006"
"225","Spanje","Lozano, Juan Juan Lozano","30-08-1955","1981-1983, 1985-1987"
"226","België","Lukaku, Jordan Jordan Lukaku","25-07-1994","2012-2013"
"227","België","Lukaku, Romelu Romelu Lukaku","13-05-1993","2009-2011"
"228","België","Lukebakio, Dodi Dodi Lukebakio","24-09-1997","2015-2016"
"229","Nederland","MacDonald, Sherjill Sherjill MacDonald","20-01-1984","2001-2004"
"230","België","Maes, Peter Peter Maes","01-06-1964","1990-1995"
"231","Oostenrijk","Mair, Gerhard Gerhard Mair","27-05-1942","1965-1967, 1969-1973"
"232","België","Marchandise, Ivan Ivan Marchandise","25-02-1967","1987-1989"
"233","België","Marchoul, Guy Guy Marchoul","04-11-1965","1985-1991, 1992-1994"
"234","Tsjechië","Marecek, Lukáš Lukáš Marecek","17-04-1990","2010-2012"
"235","Duitsland","Marin, Marko Marko Marin","13-03-1989","2015"
"236","België","Martens, Maarten Maarten Martens","02-07-1984","2003-2004"
"237","België","Martens, Maurice Maurice Martens","05-06-1947","1967-1971"
"238","België","Martens, Ronny Ronny Martens","22-12-1958","1977-1981"
"239","België","Matthys, Hervé Hervé Matthys","19-01-1996","2014-2015"
"240","Tsjechië","Mazuch, Ondrej Ondrej Mazuch","15-03-1989","2009-2011"
"241","Congo-Kinshasa","Mbemba, Chancel Chancel Mbemba","30-11-1991","2011-2015"
"242","Congo-Kinshasa","Mbenza, Bedi Bedi Mbenza","11-09-1984","2011-2012"
"243","Senegal","Mbodj, Kara Kara Mbodj","11-11-1989","2015-nu"
"244","Congo-Kinshasa","Mbokani, Dieumerci Dieumerci Mbokani","22-11-1985","2006-2007, 2011-2013"
"245","Engeland","McKenzie, Duncan Duncan McKenzie","10-06-1950","1976"
"246","België","Meert, Henri Henri Meert","27-08-1920","1939-1960"
"247","België","Merken, Marcelin Marcelin Merken","26-10-1957","1975-1979"
"248","België","Mermans, Jef Jef Mermans","16-02-1922","1941-1957"
"249","België","Mettens, Albert Albert Mettens","08-02-1912","1929-1937"
"250","Servië","Milivojevic, Luka Luka Milivojevic","07-04-1991","2013-2014"
"251","Servië","Milojevic, Zvonko Zvonko Milojevic","30-08-1971","1997-2003"
"252","Servië","Mitrovic, Aleksandar Aleksandar Mitrovic","16-09-1994","2013-2015"
"253","Roemenië","Mitu, Marius Marius Mitu","10-09-1976","2005-2006"
"254","Zweden","Molins, Guillermo Guillermo Molins","26-09-1988","2011-2012"
"255","Kroatië","Mornar, Ivica Ivica Mornar","12-01-1974","2001-2004"
"256","Denemarken","Mortensen, Henrik Henrik Mortensen","12-02-1968","1985-1988"
"257","België","Mpenza, Mbo Mbo Mpenza","04-12-1976","2004-2008"
"258","België","Mukendi, Olivier Olivier Mukendi","08-06-1991","2008-2009"
"259","Nederland","Mulder, Jan Jan Mulder","04-05-1945","1965-1972"
"260","België","Munaron, Jacky Jacky Munaron","08-09-1956","1974-1989"
"261","Zambia","Musonda, Charly Charly Musonda","22-08-1969","1987-1995, 1996-1997"
"262","Frankrijk","N'Sakala, Fabrice Fabrice N'Sakala","21-07-1990","2013-2016"
"263","Honduras","Najar, Andy Andy Najar","16-03-1993","2013-nu"
"264","Hongarije","Nemes, Gyula Gyula Nemes","14-03-1938","1960-1961"
"265","België","Ngalula Mbuyi, Gabriel Gabriel Ngalula Mbuyi","01-06-1982","2001-2004"
"266","België","Nicolaes, Guido Guido Nicolaes","15-07-1950","1974-1975"
"267","België","Nicolay, Kevin Kevin Nicolay","06-01-1981","2000-2002, 2003"
"268","Denemarken","Nielsen, Benny Benny Nielsen","17-03-1951","1977-1981"
"269","België","Nilis, Luc Luc Nilis","25-05-1967","1986-1994"
"270","Zweden","Nordahl, Thomas Thomas Nordahl","24-05-1946","1968-1971"
"271","Nederland","Nuytinck, Bram Bram Nuytinck","04-05-1990","2012-2017"
"272","Nigeria","Nwanu, Chidi Chidi Nwanu","01-01-1967","1994, 1996"
"273","Nigeria","Obiorah, James James Obiorah","24-08-1978","1995-1998"
"274","Servië","Obradovic, Ivan Ivan Obradovic","25-07-1988","2015-nu"
"275","België","Odjidja Ofoe, Vadis Vadis Odjidja Ofoe","21-02-1989","2006-2007"
"276","België","Odoi, Denis Denis Odoi","27-05-1988","2011-2013"
"277","Italië","Okaka, Stefano Stefano Okaka","09-08-1989","2015-2016"
"278","Nigeria","Oliseh, Azubuike Azubuike Oliseh","18-11-1978","1996-1998"
"279","België","Oliveira, Luis Luis Oliveira","24-03-1969","1987-1992"
"280","Nigeria","Olufemi, Oladapo Oladapo Olufemi","05-11-1988","2006-2007"
"281","Denemarken","Olsen, Morten Morten Olsen","15-08-1949","1980-1986"
"282","België","Onclin, Julien Julien Onclin","02-05-1945","1966-1967"
"283","Nigeria","Onyekuru, Henry Henry Onyekuru","05-06-1997","2017-nu"
"284","België","Orlans, Richard Richard Orlans","06-10-1931","1962-1964"
"285","Nigeria","Osondu, Philip Philip Osondu","28-11-1971","1989-1990"
"286","België","Oyen, Davy Davy Oyen","17-07-1975","1999-2002"
"287","België","Palmers, Guido Guido Palmers","05-02-1956","1975-1977"
"288","Argentinië","Pareja, Nicolás Nicolás Pareja","19-01-1984","2006-2008"
"289","Kroatië","Pavlovic, Zeljko Zeljko Pavlovic","02-03-1971","2001-2003"
"290","België","Peersman, Tristan Tristan Peersman","28-09-1979","2000-2005"
"291","België","Peeters, Alfons Alfons Peeters","21-01-1943","1968-1971"
"292","België","Peeters, René René Peeters","10-10-1961","1981-1983"
"293","België","Peiremans, Frédéric Frédéric Peiremans","03-09-1973","1993-1998"
"294","Kroatië","Peruzovic, Luka Luka Peruzovic","26-02-1952","1980-1986"
"295","Denemarken","Petersen, Dan Dan Petersen","06-05-1972","1997-1999"
"296","IJsland","Pétursson, Pétur Pétur Pétursson","27-06-1959","1981-1982"
"297","België","Pieroni, Luigi Luigi Pieroni","08-09-1980","2008"
"298","België","Pierre, Frédéric Frédéric Pierre","23-02-1974","2000-2001"
"299","België","Pijpens, Olivier Olivier Pijpens","09-09-1972","1990-1993"
"300","België","Pirard, Emmanuel Emmanuel Pirard","21-02-1974","2000-2002"
"301","België","Plaskie, Jean Jean Plaskie","24-08-1941","1959-1972"
"302","Tsjechië","Polák, Jan Jan Polák","14-03-1981","2007-2011"
"303","België","Pollet, David David Pollet","12-08-1988","2014"
"304","België","Praet, Dennis Dennis Praet","14-05-1994","2011-2016"
"305","Ghana","Preko, Yaw Yaw Preko","08-09-1974","1992-1997"
"306","België","Proto, Silvio Silvio Proto","23-05-1983","2005-2008, 2009-2016"
"307","België","Puis, Wilfried Wilfried Puis","18-02-1943","1961-1971"
"308","Frankrijk","Pujol, Grégory Grégory Pujol","25-01-1980","2005-2006"
"309","België","Queeckers, Stéphane Stéphane Queeckers","14-03-1975","1996-1999"
"310","Canada","Radzinski, Tomasz Tomasz Radzinski","14-12-1973","1998-2001"
