"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1533","@VOOsport #chaand Ce n'est pas Ferrera mais Stéphane Stassin qui à replacer Saelemaekers à l'arrière.....",FALSE,0,"VOOsport",2018-04-06 18:45:16,FALSE,NA,"982328403838746625","334603780","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","P1968P",0,FALSE,FALSE,NA,NA
"1534","@CFootRTBF c’est quoi cette pelouse? Nos jardiniers de provincial peuvent être fiers par rapport à un terrain de… https://t.co/Iz1Qy7Ga4V",FALSE,0,"CFootRTBF",2018-04-06 18:45:07,TRUE,NA,"982328363099545602","816995569","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nicolas251184",0,FALSE,FALSE,NA,NA
"1535","Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/UCw3sTGGIS",FALSE,3,NA,2018-04-06 18:43:27,FALSE,NA,"982327944029900802",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HeidiWijns",0,FALSE,FALSE,NA,NA
"1536","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:42:45,FALSE,NA,"982327769232302080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taahir98",65,TRUE,FALSE,NA,NA
"1537","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:42:36,FALSE,NA,"982327730376077312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tenutenu3",65,TRUE,FALSE,NA,NA
"1538","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:42:25,FALSE,NA,"982327685622980608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JLeagueFr",65,TRUE,FALSE,NA,NA
"1539","RT @rscanderlecht: Charleroi 0-1 #RSCA <U+26BD><U+FE0F> 3' Goal: Ryota Morioka (Assist: Lazar Markovic) #COYM #CHAAND https://t.co/COkDJ97sYM",FALSE,0,NA,2018-04-06 18:42:04,FALSE,NA,"982327597190217728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmberDeWeerdt",65,TRUE,FALSE,NA,NA
"1540","RT @SportCharleroi: Voici le onze de départ de Mazzù pour affronter @rscanderlecht : Mandanda, Zajkov, Martos, Marinos, Dessoleil, Nurio, H…",FALSE,0,NA,2018-04-06 18:40:19,FALSE,NA,"982327154322104320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DaniLanso97",8,TRUE,FALSE,NA,NA
"1541","RT @rscanderlecht: Charleroi - #RSCA: the starting line-up! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> Subs: de Jong, Sá, Chipciu, Ganvoula, Amuzu, Dante &amp; Sambi Lokonga <U+26BD><U+FE0F> #COYM #…",FALSE,0,NA,2018-04-06 18:40:13,FALSE,NA,"982327131559616517",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DaniLanso97",25,TRUE,FALSE,NA,NA
"1542","<U+2488> #chaand
<U+2489> #terzaketv
<U+248A> #BELPOR
<U+248B> #PartijIslam
<U+248C> Jacques Higelin
<U+248D> #HealthForAll
<U+248E> Gaza
<U+248F> Cambridge Analytica
<U+2490> EV… https://t.co/dmn4aYnWBX",FALSE,0,NA,2018-04-06 18:40:02,TRUE,NA,"982327083471749120",NA,"<a href=""http://trendinalia.com"" rel=""nofollow"">Trendinalia Belgium</a>","trendinaliaBE",0,FALSE,FALSE,"4.4768","50.501"
